context_short,context_hi,context,context_trans,context_coloc,context_qr,context_broad,context_snsQTL,fill_color,font_color
Ast eQTL,Ast_eQTL,Ast_10_Kellis_eQTL,,,,Ast_eQTL,,#c5fcd5,black
Ast eQTL,Ast_eQTL,Ast_DeJager_eQTL,ROSMAP_DeJager_eQTL_Ast,DeJager_Ast,ROSMAP_Ast_mega_eQTL,Ast_eQTL,,#c5fcd5,black
Ast eQTL,Ast_eQTL,Ast_Kellis_eQTL,ROSMAP_Kellis_eQTL_Ast,Kellis_Ast,,Ast_eQTL,,#c5fcd5,black
Ast eQTL,Ast_eQTL,Ast_mega_eQTL,ROSMAP_mega_eQTL_Ast,,,Ast_eQTL,,#c5fcd5,black
Ast caQTL,Ast_snATAC,ROSMAP_snATAC_Kelis_Ast,,,,Ast_snATAC,,#bfdec7,black
B,GWAS,AD_Bellenguez_2022,,AD_Bellenguez_2022,,GWAS,,#fcfcfc,#299da6
B,GWAS,AD_Bellenguez_EADB_2022,,AD_Bellenguez_EADB_2022,,GWAS,,#fcfcfc,#299da6
bulk eQTL,bulk_brain_eQTL,AC_DeJager_eQTL,ROSMAP_DeJager_eQTL_AC,ROSMAP_AC,ROSMAP_AC_DeJager_eQTL,bulk_brain_eQTL,,#d4d2d4,black
bulk eQTL,bulk_brain_eQTL,BM_10_MSBB_eQTL,MSBB_eQTL_BM10,MSBB_eQTL_BM_10,BM_10_MSBB_eQTL,bulk_brain_eQTL,,#d4d2d4,black
bulk eQTL,bulk_brain_eQTL,BM_22_MSBB_eQTL,MSBB_eQTL_BM22,MSBB_eQTL_BM_22,BM_22_MSBB_eQTL,bulk_brain_eQTL,,#d4d2d4,black
bulk eQTL,bulk_brain_eQTL,BM_36_MSBB_eQTL,MSBB_eQTL_BM36,MSBB_eQTL_BM_36,BM_36_MSBB_eQTL,bulk_brain_eQTL,,#d4d2d4,black
